"Index","cbpp1","smp","cbpp2","abspp","cbpp3","pspp","cspp"
2009-07-31,1846.26086956522,0,0,0,0,0,0
2009-08-31,6862.61290322581,0,0,0,0,0,0
2009-09-30,12104.9,0,0,0,0,0,0
2009-10-31,18226.9677419355,0,0,0,0,0,0
2009-11-30,23138.6,0,0,0,0,0,0
2009-12-31,27353.1612903226,0,0,0,0,0,0
2010-01-31,30631.1290322581,0,0,0,0,0,0
2010-02-28,36378.0357142857,0,0,0,0,0,0
2010-03-31,41776.5806451613,0,0,0,0,0,0
2010-04-30,46942.4666666667,0,0,0,0,0,0
2010-05-31,52591.2258064516,19945.5241935484,0,0,0,0,0
2010-06-30,57787.8666666667,51146.7333333333,0,0,0,0,0
2010-07-31,61113.3225806452,60115.6774193548,0,0,0,0,0
2010-08-31,61114.8064516129,60644.3935483871,0,0,0,0,0
2010-09-30,61096.1333333333,61931.3666666667,0,0,0,0,0
2010-10-31,60982,63335,0,0,0,0,0
2010-11-30,60961.5,66260.3,0,0,0,0,0
2010-12-31,60938.1612903226,72917.3387096774,0,0,0,0,0
2011-01-31,60786.8965517241,75841.1034482759,0,0,0,0,0
2011-02-28,60702.7857142857,76887.9642857143,0,0,0,0,0
2011-03-31,60653.7419354839,77195.0580645161,0,0,0,0,0
2011-04-30,60475.5,76331,0,0,0,0,0
2011-05-31,60370,75402.2,0,0,0,0,0
2011-06-30,60270.9666666667,74185.0333333333,0,0,0,0,0
2011-07-31,59979.3548387097,74048.1451612903,0,0,0,0,0
2011-08-31,59717.4193548387,104931.780645161,0,0,0,0,0
2011-09-30,59462.3,153110.7,0,0,0,0,0
2011-10-31,59231.5161290323,167804.983870968,0,0,0,0,0
2011-11-30,59182.1333333333,195540.266666667,0,0,0,0,0
2011-12-31,58984.6774193548,210591.943548387,2450.12903225806,0,0,0,0
2012-01-31,58351.064516129,217642.541935484,4206.1935483871,0,0,0,0
2012-02-29,57465.2068965517,219627,6258.79310344828,0,0,0,0
2012-03-31,57077.8387096774,215977.596774194,8428.06451612903,0,0,0,0
2012-04-30,56827.2,214261.733333333,9881.06666666667,0,0,0,0
2012-05-31,56545.0322580645,213068.432258065,11446.935483871,0,0,0,0
2012-06-30,56245.0666666667,211333.416666667,13133.2666666667,0,0,0,0
2012-07-31,55530.1290322581,211315.148387097,14250.3225806452,0,0,0,0
2012-08-31,54979.935483871,210206.879032258,14839.935483871,0,0,0,0
2012-09-30,54730.5,209006.466666667,15682.5333333333,0,0,0,0
2012-10-31,53858.2258064516,209060.787096774,16347.3870967742,0,0,0,0
2012-11-30,52884.7666666667,208316.15,16409.8333333333,0,0,0,0
2012-12-31,52087.7096774194,208420.637096774,16413.9032258065,0,0,0,0
2013-01-31,51031.5161290323,208821.379032258,16371.3548387097,0,0,0,0
2013-02-28,48733.0357142857,205446.5,16289.2142857143,0,0,0,0
2013-03-31,47737.4193548387,205389.14516129,16204.935483871,0,0,0,0
2013-04-30,46937.9333333333,204705.133333333,16133.3333333333,0,0,0,0
2013-05-31,46169.5483870968,200013.088709677,16078.6129032258,0,0,0,0
2013-06-30,45515.8,195549.7,16070,0,0,0,0
2013-07-31,44543.7741935484,195619.812903226,15930.6129032258,0,0,0,0
2013-08-31,44003.935483871,192184.177419355,15835.3870967742,0,0,0,0
2013-09-30,43483.4,190764.883333333,15784.9666666667,0,0,0,0
2013-10-31,42727.1290322581,188230.516129032,15560.3548387097,0,0,0,0
2013-11-30,41947.5,184137.5,15459.5,0,0,0,0
2013-12-31,41734.4516129032,181801.077419355,15447.8709677419,0,0,0,0
2014-01-31,41293.0967741935,178224.60483871,15335.5483870968,0,0,0,0
2014-02-28,39431,175864.571428571,15005.1785714286,0,0,0,0
2014-03-31,38339.0322580645,175888.290322581,14778.6774193548,0,0,0,0
2014-04-30,37787,173228.2,14442,0,0,0,0
2014-05-31,37601.9677419355,166893.661290323,14365.8709677419,0,0,0,0
2014-06-30,35510.4,162931.466666667,14200.6333333333,0,0,0,0
2014-07-31,33938.0967741935,157542.270967742,14013.0322580645,0,0,0,0
2014-08-31,32888,151402.5,13829,0,0,0,0
2014-09-30,32460.3333333333,148842.333333333,13712.7333333333,0,0,0,0
2014-10-31,31504.8947368421,148063.328947368,13497.5263157895,0,0,0,0
2014-11-30,29738.25,144230.5,13018.5,0,12104.25,0,0
2014-12-31,29073,143878,12792,1156.5,25968,0,0
2015-01-31,28364.8,144263,12756.2,2049.2,34302.2,0,0
2015-02-28,26967.25,140945,12299,3004.5,47212,0,0
2015-03-31,26189.75,140945,11687,4011,58491.5,0,0
2015-04-30,25800,140369.5,11379.75,5355,68520.75,68128,0
2015-05-31,25293.6,138098,11322.2,6237,80343.6,121414.6,0
2015-06-30,24212,136070.5,10997.75,8135.5,90960,176492,0
2015-07-31,22706,133573.6,10781,9353.2,100033.6,227079.6,0
2015-08-31,22541,129090,10675.5,10980,108749.75,274717.75,0
2015-09-30,22237.5,127580,10501.25,12032.5,116709.75,320128.25,0
2015-10-31,21542.2,126433.8,10291.8,14050.2,126561.6,370534,0
2015-11-30,20796,123045,9956,14931.5,135042.75,425717.75,0
2015-12-31,20634,122847.5,9784,15444.5,142230.5,479291.25,0
2016-01-31,20346,122952,9527.4,15889.4,146534.2,516021.6,0
2016-02-29,19824,121666,9034.5,18194.25,155547,576188.75,0
2016-03-31,19541.2,121310,8838.8,19131.2,163277.8,629591.8,0
2016-04-30,19085,117926.2,8543.2,19125,169039.4,689483.6,0
2016-05-31,18917,110973,8409.25,19015.75,175721.5,772266,0
2016-06-30,18165.75,110973,7945.5,19416.75,180566.5,843063.5,0
2016-07-31,17563.25,110880.5,7612.5,20199,184804.5,903137.75,9387
