,matlabdate,GDPnq
1,1995,1732949.2
2,1995.25,1746409.7
3,1995.5,1776113.9
4,1995.75,1792108.7
5,1996,1815645.4
6,1996.25,1844252.5
7,1996.5,1863807.4
8,1996.75,1883681.1
9,1997,1908817.8
10,1997.25,1942489.9
11,1997.5,1972514.4
12,1997.75,1999426.4
13,1998,2021013.8
14,1998.25,2042191.7
15,1998.5,2056531.9
16,1998.75,2066252.2
17,1999,2092829.8
18,1999.25,2127749.7
19,1999.5,2164503.7
20,1999.75,2209532.3
21,2000,2263419.6
22,2000.25,2292259
23,2000.5,2317715.7
24,2000.75,2349842.2
25,2001,2361946.1
26,2001.25,2399481.5
27,2001.5,2412155.3
28,2001.75,2433505.5
29,2002,2465474
30,2002.25,2478019.4
31,2002.5,2496968.2
32,2002.75,2519363.4
33,2003,2509803.9
34,2003.25,2506199.2
35,2003.5,2539815.7
36,2003.75,2570221.1
37,2004,2605313.5
38,2004.25,2647582.6
39,2004.5,2672240.8
40,2004.75,2688078
41,2005,2715121.9
42,2005.25,2757760
43,2005.5,2786189.8
44,2005.75,2828789.4
45,2006,2866321.7
46,2006.25,2908744.3
47,2006.5,2947840.5
48,2006.75,3006329.3
49,2007,3059441.5
50,2007.25,3092313.1
51,2007.5,3133320.3
52,2007.75,3149377.7
53,2008,3152201.1
54,2008.25,3146105.1
55,2008.5,3140962.4
56,2008.75,3055404.2
57,2009,2914507.3
58,2009.25,2927221.1
59,2009.5,2958712.6
60,2009.75,2967930.3
61,2010,3008974.2
62,2010.25,3063442.8
63,2010.5,3101461.3
64,2010.75,3110785.3
65,2011,3158794.7
66,2011.25,3157104.5
67,2011.5,3171455.8
68,2011.75,3175016.1
69,2012,3206535.2
70,2012.25,3219526.4
71,2012.5,3248120.8
72,2012.75,3242491.3
73,2013,3233227.9
74,2013.25,3249690.6
75,2013.5,3259933.6
76,2013.75,3288850.1
77,2014,3318156.2
